Year,GDP_pc,HC_index,Pop_growth,Capital_stock,gini,change_in_cpi,Recession.dummy,UK_gdp_pc_growth,wrl_gdp_growth
1977,22260.162013704572,2.901076793670654,-0.0328738482390269,5388120.5,0.24,8.26314103860768,1,2.4914378324322404,4.00847020769849
1978,23194.793953015836,2.924618244171143,0.00535990765712166,5533850.5,0.24,13.4212799774012,1,4.198675367842579,4.161740653686
1979,24042.78768580711,2.94835090637207,0.0897286611918231,5682264,0.253,17.9659242656857,1,3.6559657934836536,4.18407409481765
1980,23526.2554939436,2.972275972366333,0.119517254129019,5801163.5,0.257,11.8766265142296,0,-2.1483872777715676,1.88229386683835
1981,23332.80257718202,2.994034051895142,0.0348217320561183,5878170,0.263,8.59886383332186,0,-0.8222851988127946,1.9398064946125
1982,23806.79810277302,3.015951633453369,-0.0358427938348334,5979037,0.261,4.60930327269779,1,2.031455604285343,0.355408287626744
1983,24803.427165409812,3.038029432296753,0.0341013738761532,6099056.5,0.268,4.96071097821927,1,4.18632131181347,2.63226798050941
1984,25326.12966825386,3.060268640518188,0.158261863204096,6256941,0.27,6.07139434015119,1,2.1073801590329997,4.67566620794486
1985,26316.71542405453,3.082670927047729,0.226951225450001,6426020.5,0.282,3.42760940369314,1,3.911319134728923,3.70830649160487
1986,27082.981939905418,3.105237245559692,0.231610229834337,6596319,0.291,4.14892232052945,1,2.911710308462309,3.23360024124062
1987,28482.866668860603,3.127968549728394,0.212637260699709,6806586,0.305,4.15535171583102,1,5.168872216735207,3.75340885923706
1988,30048.82065988754,3.150866270065308,0.222063893961785,7087939,0.323,5.76024909185262,1,5.497880565297679,4.54892724186647
1989,30743.227510913886,3.173931837081909,0.260311450078262,7390801.5,0.327,8.06346090938833,1,2.310928801120359,3.72415680094846
1990,30876.370630451715,3.197166204452514,0.298930554095876,7647216,0.339,7.46178295746934,0,0.43308113792074104,2.72126980697942
1991,30441.48134881867,3.227114200592041,0.309247932319381,7835370.5,0.341,4.59154929577461,0,-1.408485753840953,1.21070116446037
1992,30481.0348859844,3.25734281539917,0.270431182081877,8027692.5,0.34,2.55857796929705,1,0.12993302366760964,2.0223402524078
1993,31165.15445682812,3.287854671478271,0.239745439286479,8219691,0.34,2.21901260504205,1,2.244410576618206,1.84044793139411
1994,32281.480152701424,3.318652153015137,0.254586486858912,8452176,0.332,2.69749518304432,1,3.5819674740252174,3.34233006750591
1995,33011.29456105828,3.349738359451294,0.264547416858702,8693445,0.333,2.85178236397749,1,2.26078359760646,3.09757901481413
1996,33777.528089328545,3.381115436553955,0.254626384215086,8959383,0.333,2.20114313510882,1,2.321125355605256,3.58228590043393
1997,35349.79065296448,3.412786483764648,0.257553323280351,9163011,0.34,1.82056163731557,1,4.654759103383493,3.95336686735597
1998,36446.26168576998,3.444754600524902,0.291406085432392,9404180,0.348,1.7529508005142,1,3.1017751804240152,2.84312223323255
1999,37435.88444409968,3.477021932601929,0.333405882184416,9640411,0.346,1.18295624210408,1,2.7152929067512215,3.58907348370219
2000,38921.89657426154,3.509591341018677,0.357300887421605,9890288,0.353,1.53234960272418,1,3.969485834856691,4.53291806864662
2001,39769.87195885054,3.528481245040894,0.384975969564228,10140705,0.348,1.52040245947455,1,2.178658953504733,2.03362484924874
2002,40312.98240218305,3.547472715377808,0.423337079636281,10387785,0.342,1.37650038542013,1,1.3656328687566797,2.31645034330785
2003,41390.60621146857,3.566566467285156,0.465641113602993,10635793,0.338,1.39039756680422,1,2.6731433525175357,3.09366890334553
2004,42167.35571404891,3.585762977600098,0.568943113421317,10881525,0.339,2.0891364902507,1,1.876632341676391,4.4739697006049
2005,43023.22769414856,3.60506272315979,0.68661130607346,11144025,0.344,2.4556616643929,1,2.029702753721652,4.0204874684196
2006,43724.89571701608,3.62446665763855,0.73504867842129,11415205,0.35,2.38656150773327,1,1.6309051191037187,4.46059289685221
2007,44524.570705286074,3.643974781036377,0.778666112441256,11698124,0.357,3.52140856342539,1,1.8288779770806673,4.37319733988785
2008,44065.615661517244,3.663587808609009,0.787032622318939,11934048,0.355,1.96173173560109,0,-1.030790497244125,2.05615280962685
2009,41712.83190382709,3.683306455612183,0.756390859593407,12079841,0.356,2.49265472467065,0,-5.339273540990942,-1.34237001345186
2010,42311.432986021915,3.703131437301636,0.783888646646516,12244237,0.336,3.8561124468282,1,1.4350526082116744,4.51743046800995
2011,42459.96299984189,3.710895299911499,0.781506562236639,12393157,0.339,2.5732347965453,1,0.35103990420046327,3.33628619365859
2012,42802.02078340422,3.71867561340332,0.695353132322269,12549945,0.335,2.29166666666659,1,0.8056007575032678,2.69196085300733
2013,43281.57642007211,3.726472139358521,0.669740535540783,12724573,0.342,1.45112016293279,1,1.1204041956211244,2.87283900039763
2014,44336.53786132296,3.734284877777099,0.736463978721671,12936150,0.339,0.36804684232536,1,2.437437654793016,3.13147556608587
2015,44964.391143729204,3.742114305496216,0.792367505802859,13176753,0.345,1.0084173681141,1,1.4161080514903055,3.12878689249369
2016,45482.466861855086,3.74996018409729,0.757874492811929,13438341,0.335,2.55775577557747,1,1.1521911115616938,2.81373597388477
2017,46374.58111670584,3.757822275161743,0.679374473924223,13706323,0.34,2.29283990345938,1,1.9614465010448852,3.45144612317307
2018,46742.14811904931,3.765700817108154,0.605929132212552,13962962,0.349,1.73810460086513,1,0.792604468854283,3.28219699716972
2019,47234.24660705129,3.773596048355103,0.564131113399897,14219198,0.35,0.989486703772491,1,1.0527939082915883,2.67596629249958
